timestamp,x,y,z,vx,vy,vz
1560500327.0595083,0.014729989929427274,0.17292209321966487,-0.017586958954367838,0.007812687864764741,0.45651086934392204,-0.04198180189681631
1560500327.1249745,0.03316435584059331,0.22407842245472287,-0.020806003051667313,0.024934460145770106,0.5048741180529007,-0.05045306510048811
1560500327.256254,0.08768159200906302,0.3080391905380371,-0.028889207188342075,0.09687153292335526,0.6031868052976574,-0.06905895241694295
1560500327.3220778,0.1097975059360213,0.39029891887773854,-0.05393580913794867,0.12037135911211669,0.7067795617987597,-0.1175634436531395
1560500327.4536862,0.0980867892910043,0.4788001931614042,-0.08876942603542858,0.06264326353287392,0.7798228074326843,-0.16364887398122432
1560500327.5192904,0.10626294729801374,0.5428274929046819,-0.13581886166326343,0.08279874604858799,0.8403734134011451,-0.23526255867463858
1560500327.650242,0.1154449255889512,0.6487204446637931,-0.1691548443701134,0.06982143032178553,0.8977747801055069,-0.26821431798608925
1560500327.7166972,0.12042747918961846,0.7128705986676239,-0.18019539741977664,0.05350656419981652,0.924391793087303,-0.2622673736195614
1560500327.8466609,0.11864192785181235,0.835540465156855,-0.1978682539947225,-0.0001250191524577171,0.9857522791579654,-0.23365235141419302
1560500327.9123063,0.12155711619723775,0.911225724810279,-0.21207205435373294,0.012228239391091113,1.0040421292429214,-0.21361783770375237
1560500328.044517,0.12549379132945904,1.0326112095643327,-0.22996004306540174,0.008096579196402942,1.027967721655439,-0.1821586145781011
1560500328.109305,0.11901385712469258,1.0852741543680637,-0.23759058651727644,-0.009405431012585522,0.9964009866000331,-0.17358294556945972
1560500328.175346,0.11636205645845923,1.1529737195839842,-0.24821206758879344,-0.0023636155985642393,0.9643529509891666,-0.182231499712936
1560500328.3071182,0.1174147621201223,1.2855304238205547,-0.2701661103119321,0.0014043043384978499,1.008336423242469,-0.18505715993615884
1560500328.3743117,0.11355186989500188,1.3655667159266587,-0.27892991760537866,-0.015364003643541957,1.03060212408199,-0.16690938260035024
1560500328.5078638,0.1111064662942644,1.4986405529337414,-0.2962093427758863,0.0064239638365005125,1.009271336597288,-0.14055636227081555
1560500328.5751116,0.11071550805684242,1.5671503394055148,-0.30383181692304345,0.02438986584770822,0.9999957678905537,-0.13419670332013653
1560500328.7055864,0.11204739099995309,1.7074321892909508,-0.3180199327984111,-0.010180474338266021,1.0609630751566326,-0.13436114618546852
1560500328.7710812,0.10588927701294512,1.7752049218781734,-0.3190941727013724,-0.03659929049745997,1.0187696066106577,-0.10082828933905491
1560500328.9013894,0.07664049773007822,1.8941553718578183,-0.31493930399774644,-0.11828850784150853,0.9320909240541658,-0.02084901920311766
1560500328.966966,0.06044658042529951,1.9736938383085336,-0.3172197531074394,-0.18023509196288975,0.9842185730004742,-0.0006271106493334122
1560500329.0336366,0.05523938216695462,2.050098471738877,-0.3213073461950355,-0.16405654748734688,0.9924332278063146,-0.006909461228567427
1560500329.1659868,0.03993589862424425,2.1590628202645146,-0.3266002455497236,-0.12843170283900926,0.8670724205932264,-0.05259753215618296
1560500329.232665,0.03940744971796606,2.23259658199538,-0.34387433348838303,-0.10665646289710656,0.8793870231002386,-0.0857951174433567
1560500329.364471,0.03247389885059,2.3589097873580522,-0.36133809932118693,-0.10017158068468465,0.8729053074161662,-0.09279809659183395
1560500329.4305167,0.02932005848283043,2.411296125105004,-0.36539176238445914,-0.08321205325093947,0.8317117488382882,-0.08025425115198145
1560500329.5618591,0.01611571522125163,2.501440843445428,-0.36642582409368923,-0.07175593972495511,0.7194027021792917,-0.04211803328801276
1560500329.6257722,0.013728505134155224,2.5449485871279096,-0.3621583237431947,-0.06085164929252894,0.680226759964231,0.0020736456301276573
1560500329.7555141,0.006919738275448638,2.6292330977793195,-0.35583127482741583,-0.07755602310608309,0.6304476726666174,0.07574311407402634
1560500329.819869,0.005981020273159825,2.673494774963433,-0.35303825361631475,-0.06397559746772219,0.6112204471702471,0.07790404969954776
1560500329.9496398,0.005673976424019886,2.744092474536481,-0.35451895916962084,0.013038041871481144,0.4737301569231794,0.018608190459580468
1560500330.0130727,0.007465036529695386,2.770732046916941,-0.35766508243627515,0.04309891058975029,0.42738471208882606,-0.0021024397011217655
1560500330.077602,0.0060954937118008895,2.795448211289105,-0.365823295985452,0.05205433966458227,0.41097994958998274,-0.031657745367622156
1560500330.2069333,0.014980803183785148,2.8386826688106286,-0.3671698175248102,0.12147747263199943,0.3583037684110464,-0.10261173506330047
1560500330.2718942,0.023990042954866755,2.868949280356798,-0.37589716800802214,0.21684691442588802,0.2962168372904685,-0.13568848833224134
1560500330.4022615,0.05801010979252507,2.914725170829999,-0.38462195102397473,0.2739490650630907,0.2800174001472404,0.009909933018237416
1560500330.4679253,0.07649154122831413,2.9291903705469386,-0.3792786790721242,0.28220665633765857,0.2714190725273802,0.10557974891781224
1560500330.6006885,0.122505827044208,2.9591888734784915,-0.3627425384553472,0.41679896693598195,0.15324294579133335,0.13000367537054575
1560500330.6670048,0.1479525125647294,2.9609498452698233,-0.3589775190921714,0.4731805286475897,0.08123989007362598,0.08824108138701628
1560500330.7996094,0.212485208989384,2.9747096300361124,-0.35419166109778405,0.5286560479829935,0.05608357435926331,0.03650147088530615
1560500330.8653374,0.2473965881855804,2.9839437402166706,-0.35483685902199336,0.5775675020249664,0.012503892724186463,0.031044416598840545
1560500330.9975235,0.32946034230516497,2.983029970313403,-0.34978939611091275,0.6992084722180057,-0.10928562127492181,0.05889274645336569
1560500331.0634115,0.3676676793818549,2.980340158491836,-0.34854653588255935,0.7071507799382148,-0.12657540116421004,0.0676497388095752
