timestamp,dt,x,y,z,dx_odom,dy_odom,dz_odom,vx_odom,vy_odom,vz_odom
1560500843.2149973,0.06788420677185059,1441.201551203265,974.5628425006241,-0.013553809912719946,0.004502718528101468,-0.001628040965783839,0.0010792563030328495,0.06632939739922838,-0.023982617507124437,0.015898488829074492
1560500843.3447757,0.12977838516235352,1441.2105665278675,974.5690956890543,-0.009426428642833643,0.010900912696115483,-0.001685850680871681,0.00396758481381454,0.08399636566966355,-0.012990226983967108,0.030572000174382413
1560500843.4751875,0.13041186332702637,1441.2194406540177,974.5760809430749,-0.006052583815839908,0.01132783203092913,-0.0010488440947256095,0.003083320470629758,0.08686197514502936,-0.008042551252377118,0.02364294468286134
1560500843.5401587,0.0649712085723877,1441.2212365745397,974.5764994582211,-0.007433781405774054,0.0015525380504186614,-0.0009448915959069382,-0.0014159794154195993,0.023895785295249675,-0.0145432356372775,-0.021793952221805836
1560500843.6072555,0.06709671020507812,1441.2248535476378,974.5782353373254,-0.005306610434278002,0.003864399605390645,-0.0012242708316989592,0.0020465101074549352,0.057594472122094786,-0.018246361527368922,0.030500900881725315
1560500843.7428203,0.13556480407714844,1441.2336351392596,974.5847725714175,0.0005413003189854715,0.0110241087918439,-0.001267856120250599,0.005559802817003856,0.08131984453405916,-0.009352398868433993,0.041012140686898596
1560500843.8139,0.07107973098754883,1441.2327352052646,974.5838199672927,-0.004937463362242456,-0.0014824979853074183,-0.00013505658347412464,-0.005433060530855016,-0.020856831683382572,-0.0019000716744100052,-0.07643614368499418
1560500843.880579,0.06667900085449219,1441.2302058953908,974.5801634541715,-0.007897770979357045,-0.004442283542402947,-0.0009380736505022469,-0.0028137257482185873,-0.06662192722558873,-0.014068501904360022,-0.04219807903778788
1560500844.0090544,0.12847542762756348,1441.228535713372,974.5781947692209,-0.012309634366484879,-0.0027456136044747836,-0.0003775356024107168,-0.004295211259197629,-0.021370729447455303,-0.0029385821816849847,-0.03343216160874737
1560500844.0727823,0.06372785568237305,1441.2277355846732,974.5785105070731,-0.015933917222498747,-0.000517259863727304,0.0006950887562311436,-0.0036227912444815047,-0.00811669964709603,0.010907141763808057,-0.05684784472488628
