timestamp,x,y,z,vx,vy,vz,roll,pitch,yaw
1546877107.904599,-7.058360076233593e-06,-0.002356679379133883,-3.080832534922798e-05,0.00042896419612063226,0.0001429960038258868,5.87786973621447e-06,-89.30152512997684,1.4366370421130674,-0.002356679379133883
1546877108.004599,5.260409488425029e-06,-0.0030700336911971896,0.0004932009401526292,0.0006785264158946739,0.00030374936101639903,-0.0010950898996742115,-89.30210660639102,1.4379470704396191,-0.0030700336911971896
1546877108.104599,5.4421721821957274e-05,0.0004185007847783256,0.002366812729959604,0.0013607173903077872,0.0025262433801392275,-0.0008620461099925285,-89.30755590451378,1.4396129277367007,0.0004185007847783256
1546877108.204599,0.0001913485923142123,0.0114571026153156,0.0028703079038216134,0.00021971796924699302,0.0020714224324582978,0.00138673748963526,-89.30995972704284,1.4448992676972516,0.0114571026153156
1546877108.304599,0.00031373966619010904,0.017873648729502773,0.0031086434006014243,-0.0003268139482722604,0.0009349587220165804,0.0007518679297535298,-89.32057989836916,1.441818638463256,0.017873648729502773
1546877108.404599,0.0001934665813567895,0.013778478148057422,0.003206188937616166,9.79236072206106e-05,0.000713389430198451,-8.705069351400564e-05,-89.3240326644798,1.4411783033142502,0.013778478148057422
1546877108.504599,0.00010481150114010497,0.015235889351223712,0.003241789554315381,-8.031503608988922e-05,0.000610637297756289,0.0013140299579953538,-89.32894518618336,1.4420244164717668,0.015235889351223712
1546877108.604599,0.00022328345001366051,0.025471088591872703,0.0032211037415049056,0.00022282574857125713,0.0009572993854833228,0.0010541759914633097,-89.33710381163166,1.4404798509236063,0.025471088591872703
1546877108.704599,0.0002483483393504443,0.03233045614433582,0.003194417998036068,0.00014117810456454826,0.0013971291494450776,0.0011385267723692525,-89.33725766476324,1.4408921885230819,0.03233045614433582
1546877108.804599,0.0003309844463785518,0.040488063119468516,0.003158956575983575,-0.00012208205072825339,0.0016305299377391749,0.0006017740132226528,-89.3401277523115,1.4424704796525236,0.040488063119468516
1546877108.904599,0.00029498777638042666,0.03786730659725236,0.003072289054520325,-0.00022497264885432117,0.0017685443294188068,0.001395086001668424,-89.34021549403994,1.4417797647027066,0.03786730659725236
1546877109.004599,0.00031641460113028975,0.0418267054704836,0.002981694829908641,4.979342658105097e-05,0.0020574960627057094,0.0007942204222922723,-89.3413683695503,1.4466182234505873,0.0418267054704836
1546877109.104599,0.0002966264879261879,0.04150381364402638,0.0029493594048428727,-0.000436728174213993,0.0016989875074983126,0.0012893769543655812,-89.34662590236519,1.4546400118541298,0.04150381364402638
1546877109.204599,0.0002761982160640492,0.04356618926682358,0.0029933824346572886,-7.825464025933607e-05,0.0020091811401794363,0.0013772539764271262,-89.35170347125008,1.4600827030893304,0.04356618926682358
1546877109.304599,0.0004216958761067906,0.044441699154950755,0.002769806396124568,0.0007930778836942827,0.002322760637279659,0.0007840531172035324,-89.35376364954541,1.4616730125190032,0.044441699154950755
1546877109.404599,0.0004243985983039815,0.043088828932441696,0.0027477389253340433,0.0009977461891245252,0.0027817864222957514,-0.000509903927630435,-89.35631821587907,1.461613999666254,0.043088828932441696
1546877109.504599,0.0003931193506734148,0.04127855256953298,0.003010124330917026,0.0014619879221584328,0.0020587052416788892,0.0004964519581108654,-89.36515418499522,1.463292528879183,0.04127855256953298
1546877109.604599,0.0003810873630511593,0.040835374295585765,0.0029845316267596593,0.0006318962323781772,0.00227739322541936,0.0010427209546372688,-89.36818443200399,1.465402065100714,0.040835374295585765
1546877109.704599,0.0003354567864378423,0.042881796373728735,0.0029671418513950274,-0.0002362509878188319,0.0017307887592191607,0.00011709897744210078,-89.37105509152772,1.470039943666539,0.042881796373728735
1546877109.804599,0.00035189785813329765,0.03457537748803192,0.0029668143591454373,0.00010229318535587398,0.0016637360552027988,0.0011025302750585703,-89.37542007294249,1.4754711649982162,0.03457537748803192
1546877109.904599,0.0002799371508458341,0.03957188896944415,0.002998728268710707,-0.0008112373698367611,0.0008757784165071223,-0.000144365362760234,-89.3793295134741,1.4702892900358018,0.03957188896944415
1546877110.004599,0.00035139104033815176,0.028082152433365037,0.0030271797255356507,-4.50447184434021e-05,-1.4690690777991669e-05,-0.0005402929022558136,-89.38333938453124,1.4746344134922211,0.028082152433365037
1546877110.104599,0.00018151811192125824,-0.001403369162408441,0.0032683975910770954,0.0004171385772184158,-0.0002527352438298805,-0.0047449029790913285,-89.39173477001792,1.4761522507778229,-0.001403369162408441
1546877110.204599,-0.00010961299514315196,-0.024257903991496972,0.003449537763862294,-0.001676183490466299,0.00048283093012387897,0.002119934383339371,-89.40021263083142,1.4795803198794764,-0.024257903991496972
1546877110.304599,-0.0003806604800037696,-0.03202054990061326,0.003464635027386153,-0.001727124162834272,0.0011711370163049449,0.0017744493400467544,-89.40649570499828,1.4852326094134414,-0.03202054990061326
1546877110.404599,-0.000411697894762643,-0.03808162821344237,0.0035718929907997267,-0.0024742513598099065,0.0007999877691888715,0.001969553997716499,-89.41863944572401,1.4921070273737829,-0.03808162821344237
1546877110.504599,-0.00034599738821858647,-0.033657768408440106,0.0034699590114918096,-0.0033126016539475633,0.0008143022885626461,0.0005129461795335156,-89.420964474004,1.4905744998684434,-0.033657768408440106
1546877110.604599,-0.00033858989761954665,-0.04448146803076504,0.0034797306635206923,-0.0006784996975717304,0.0012960947924752215,0.0028938991423448452,-89.42313586431561,1.4955866171131127,-0.04448146803076504
1546877110.704599,-0.0003928564578794816,-0.04537391327939105,0.003526630176137725,-0.0024595592821938226,0.0002490250258738422,0.003787011332116654,-89.42885096628889,1.5010133686182354,-0.04537391327939105
